Date,Store_ID,Store_Name,Sales_Amount,Transaction_ID
2024/01/01,101,Central Mall,7817.0,10000
2024/01/01,102,City Center,13657.0,10001
01-01-2024,103,Central Mall ,9595.0,10002
2024/01/01,104,Airport Outlet,,10003
2024/01/02,101,Central Mall,14749.0,10004
2024/01/02,102,City Center,,10005
02-01-2024,103,Central Mall ,16691.0,10005
2024/01/02,104,Airport Outlet,11511.0,10006
2024/01/03,101,Central Mall,8376.0,10008
2024/01/03,102,City Center,13249.0,10009
03-01-2024,103,Central Mall ,13828.0,10010
2024/01/03,104,Airport Outlet,15906.0,10011
2024/01/04,101,Central Mall,9857.0,10012
2024/01/04,102,City Center,8863.0,10013
04-01-2024,103,Central Mall ,0.0,10014
2024/01/04,104,Airport Outlet,15986.0,10015
2024/01/05,101,Central Mall,,10016
2024/01/05,102,City Center,5426.0,10017
05-01-2024,103,Central Mall ,16190.0,10018
2024/01/05,104,Airport Outlet,5081.0,10019
2024/01/06,101,Central Mall,,10020
2024/01/06,102,City Center,,10021
06-01-2024,103,Central Mall ,17398.0,10022
2024/01/06,104,Airport Outlet,19034.0,10023
2024/01/07,101,Central Mall,8740.0,10024
2024/01/07,102,City Center,0.0,10024
07-01-2024,103,Central Mall ,11891.0,10026
2024/01/07,104,Airport Outlet,0.0,10027
2024/01/08,101,Central Mall,9741.0,10028
2024/01/08,102,City Center,19134.0,10029
08-01-2024,103,Central Mall ,,10030
2024/01/08,104,Airport Outlet,,10031
2024/01/09,101,Central Mall,7377.0,10032
2024/01/09,102,City Center,18306.0,10033
09-01-2024,103,Central Mall ,14915.0,10034
2024/01/09,104,Airport Outlet,0.0,10035
2024/01/10,101,Central Mall,0.0,10036
2024/01/10,102,City Center,9337.0,10037
10-01-2024,103,Central Mall ,19887.0,10038
2024/01/10,104,Airport Outlet,11559.0,10039
2024/01/11,101,Central Mall,11329.0,10040
2024/01/11,102,City Center,16875.0,10041
11-01-2024,103,Central Mall ,0.0,10042
2024/01/11,104,Airport Outlet,5858.0,10043
2024/01/12,101,Central Mall,17260.0,10044
2024/01/12,102,City Center,14156.0,10045
12-01-2024,103,Central Mall ,,10046
2024/01/12,104,Airport Outlet,11071.0,10047
2024/01/13,101,Central Mall,14398.0,10048
2024/01/13,102,City Center,18930.0,10049
13-01-2024,103,Central Mall ,6456.0,10050
2024/01/13,104,Airport Outlet,,10051
2024/01/14,101,Central Mall,5788.0,10052
2024/01/14,102,City Center,,10053
14-01-2024,103,Central Mall ,15751.0,10054
2024/01/14,104,Airport Outlet,0.0,10055
2024/01/15,101,Central Mall,13773.0,10056
2024/01/15,102,City Center,9777.0,10057
15-01-2024,103,Central Mall ,0.0,10058
2024/01/15,104,Airport Outlet,18544.0,10058
2025/01/01,101,Central Mall,6027.0,10060
2025/01/01,102,City Center,13813.0,10061
01-01-2025,103,Central Mall ,14878.0,10062
2025/01/01,104,Airport Outlet,,10063
2025/01/02,101,Central Mall,17499.0,10064
2025/01/02,102,City Center,18191.0,10065
02-01-2025,103,Central Mall ,13425.0,10066
2025/01/02,104,Airport Outlet,13663.0,10067
2025/01/03,101,Central Mall,6535.0,10068
2025/01/03,102,City Center,,10069
03-01-2025,103,Central Mall ,11152.0,10070
2025/01/03,104,Airport Outlet,16893.0,10071
2025/01/04,101,Central Mall,6385.0,10071
2025/01/04,102,City Center,14066.0,10073
04-01-2025,103,Central Mall ,14247.0,10074
2025/01/04,104,Airport Outlet,12095.0,10075
2025/01/05,101,Central Mall,,10076
2025/01/05,102,City Center,9703.0,10077
05-01-2025,103,Central Mall ,0.0,10078
2025/01/05,104,Airport Outlet,12632.0,10079
2025/01/06,101,Central Mall,18273.0,10080
2025/01/06,102,City Center,5825.0,10081
06-01-2025,103,Central Mall ,10294.0,10082
2025/01/06,104,Airport Outlet,,10083
2025/01/07,101,Central Mall,10220.0,10084
2025/01/07,102,City Center,0.0,10084
07-01-2025,103,Central Mall ,11340.0,10086
2025/01/07,104,Airport Outlet,18542.0,10087
2025/01/08,101,Central Mall,,10087
2025/01/08,102,City Center,19142.0,10089
08-01-2025,103,Central Mall ,10210.0,10090
2025/01/08,104,Airport Outlet,16447.0,10091
2025/01/09,101,Central Mall,0.0,10092
2025/01/09,102,City Center,15402.0,10093
09-01-2025,103,Central Mall ,,10094
2025/01/09,104,Airport Outlet,,10095
2025/01/10,101,Central Mall,,10096
2025/01/10,102,City Center,6150.0,10097
10-01-2025,103,Central Mall ,16382.0,10098
2025/01/10,104,Airport Outlet,5132.0,10099
2025/01/11,101,Central Mall,11544.0,10100
2025/01/11,102,City Center,14483.0,10101
11-01-2025,103,Central Mall ,6449.0,10102
2025/01/11,104,Airport Outlet,12036.0,10103
2025/01/12,101,Central Mall,15156.0,10104
2025/01/12,102,City Center,15534.0,10105
12-01-2025,103,Central Mall ,5317.0,10106
2025/01/12,104,Airport Outlet,11295.0,10106
2025/01/13,101,Central Mall,,10107
2025/01/13,102,City Center,7641.0,10109
13-01-2025,103,Central Mall ,,10110
2025/01/13,104,Airport Outlet,16055.0,10111
2025/01/14,101,Central Mall,,10112
2025/01/14,102,City Center,10438.0,10113
14-01-2025,103,Central Mall ,13151.0,10114
2025/01/14,104,Airport Outlet,12516.0,10115
2025/01/15,101,Central Mall,11578.0,10116
2025/01/15,102,City Center,,10117
15-01-2025,103,Central Mall ,10777.0,10118
2025/01/15,104,Airport Outlet,0.0,10119
